user_id,sample,keydown,TAP,keyup,TAR,PressureSize
125,8,E,83441738634883,E,83441850694882,0.13725491
125,9,5,83442317192883,5,83442413138883,0.13725491
125,9,5,83442507986883,5,83442587394882,0.14901961
125,9,6,83442728687882,6,83442825365882,0.13725491
125,9,0,83443089957883,0,83443202074884,0.14117648
125,9,E,83443421678884,E,83443533475883,0.14901961
126,0,5,28297179361021,5,28297305186021,0.12941177
126,0,5,28297431078021,5,28297542809021,0.12941177
126,0,6,28297808141021,6,28297904074021,0.121568635
126,0,0,28298153619021,0,28298249483021,0.11372550000000001
126,0,E,28299524984023,E,28299601762023,0.14509805
126,1,5,28308674285022,5,28308816612021,0.14117648
126,1,5,28308926923021,5,28309055573021,0.13333334
126,1,6,28309383102021,6,28309527652021,0.14901961
126,1,0,28309793014021,0,28309905353022,0.12941177
126,1,E,28310792417022,E,28310869211022,0.11764707
126,2,5,28311694326022,5,28311820182022,0.14117648
126,2,5,28311899879022,5,28312028323022,0.15294118
126,2,6,28312247233022,6,28312424965022,0.13725491
126,2,0,28312752143022,0,28312929253022,0.13333334
126,2,E,28313599929022,E,28313709464022,0.11764707
126,3,5,28316362506022,5,28316487652021,0.15294118
126,3,5,28316567243021,5,28316695627021,0.14901961
126,3,6,28316899226021,6,28317011230021,0.14509805
126,3,0,28317277229021,0,28317405629021,0.13333334
126,3,E,28317779379021,E,28317874863021,0.121568635
126,4,5,28319072322023,5,28319181174021,0.13725491
126,4,5,28319291674021,5,28319387450021,0.14509805
126,4,6,28319653085021,6,28319781350021,0.14117648
126,4,0,28320061963021,0,28320190262021,0.13725491
126,4,E,28320486681021,E,28320566185021,0.12941177
126,5,5,28321531239021,5,28321640430021,0.14509805
126,5,5,28321704510021,5,28321800246021,0.15294118
126,5,6,28322376805021,6,28322487439021,0.15294118
126,5,0,28322706206021,0,28322834582021,0.13725491
126,5,E,28323115518021,E,28323195013021,0.121568635
126,6,5,28324082627022,5,28324191421021,0.14901961
126,6,5,28324271126022,5,28324366726021,0.15686275
126,6,6,28324632174022,6,28324760755022,0.15294118
126,6,0,28325042086021,0,28325186587021,0.13725491
126,6,E,28325498556021,E,28325594323021,0.1254902
126,7,5,28326559032023,5,28326652502023,0.14509805
126,7,5,28326731725023,5,28326811686023,0.15294118
126,7,6,28327076729021,6,28327205594021,0.14509805
126,7,0,28327486390021,0,28327598809021,0.13725491
126,7,E,28327863934021,E,28327976276021,0.121568635
126,8,5,28328941165021,5,28329066793021,0.14901961
126,8,5,28329130509021,5,28329226527021,0.15294118
126,8,6,28329491613021,6,28329669727021,0.13333334
126,8,0,28329919798021,0,28330064557021,0.14509805
126,8,E,28330329927021,E,28330458265021,0.1254902
126,9,5,28331454223026,5,28331563407021,0.15294118
126,9,5,28331642956021,5,28331738480021,0.16078432
126,9,6,28331988695021,6,28332134160021,0.16078432
126,9,0,28332384083021,0,28332512589022,0.14509805
126,9,E,28332793337021,E,28332889058021,0.13725491
127,0,5,30308695773032,5,30308758639033,0.08235294
127,0,5,30309008794033,5,30309104109033,0.10980393
127,0,6,30309308560033,6,30309421671033,0.1254902
127,0,0,30309655741033,0,30309751761033,0.10588236
127,0,E,30310109911033,E,30310221874033,0.11764707
127,1,5,30310878070028,5,30310986617032,0.10980393
127,1,5,30311143192032,5,30311255363032,0.121568635
127,1,6,30311458777032,6,30311571243032,0.121568635
127,1,0,30311867268032,0,30311995812032,0.11372550000000001
127,1,E,30312276832032,E,30312437570032,0.11372550000000001
127,2,5,30312796669032,5,30312892055032,0.1254902
127,2,5,30313049018032,5,30313144763032,0.10980393
127,2,6,30313333041032,6,30313460920032,0.1254902
127,2,0,30313803672032,0,30313980962032,0.12941177
127,2,E,30314230811032,E,30314375528032,0.11372550000000001
127,3,5,30314733923032,5,30314862062032,0.11764707
127,3,5,30315019044032,5,30315163602032,0.10980393
127,3,6,30315351533032,6,30315479805032,0.11764707
127,3,0,30315791498032,0,30315887101032,0.10980393
127,3,E,30316167845032,E,30316296797032,0.11372550000000001
127,4,5,30316700907033,5,30316829348033,0.11764707
127,4,5,30316970490032,5,30317099025032,0.1254902
127,4,6,30317286875032,6,30317399083033,0.121568635
127,4,0,30317695227033,0,30317806905032,0.11764707
127,4,E,30318119244033,E,30318263532032,0.10980393
127,5,5,30318622018032,5,30318733745032,0.10196079
127,5,5,30318906065032,5,30318985502032,0.10588236
127,5,6,30319204648032,6,30319349238032,0.1254902
127,5,0,30319645425032,0,30319757405032,0.10980393
127,5,E,30320069136032,E,30320197306032,0.11764707
127,6,5,30320602282034,5,30320713949033,0.121568635
127,6,5,30320886221032,5,30320998152032,0.10588236
127,6,6,30321217270032,6,30321345470032,0.1254902
127,6,0,30321610575032,0,30321755149032,0.11764707
127,6,E,30322066838032,E,30322211389032,0.10588236
127,7,5,30322523402032,5,30322635242032,0.10980393
127,7,5,30322776804032,5,30322888957032,0.10588236
127,7,6,30323092273032,6,30323236655032,0.11372550000000001
127,7,0,30323533394032,0,30323694009032,0.10588236
127,7,E,30323944166032,E,30324088474032,0.11372550000000001
127,8,5,30324338538032,5,30324450226032,0.10980393
127,8,5,30324622339032,5,30324750638032,0.11372550000000001
127,8,6,30324985337032,6,30325129281032,0.10980393
127,8,0,30325379168032,0,30325556500032,0.10196079
127,8,E,30325837312032,E,30325998396032,0.10980393
127,9,5,30326325907032,5,30326437781032,0.11764707
127,9,5,30326640972032,5,30326769436032,0.10196079
127,9,6,30327019186032,6,30327131354032,0.10588236
127,9,0,30327442733033,0,30327604108032,0.10980393
127,9,E,30327978024032,E,30328090132032,0.121568635
128,0,5,21193933922989,5,21194010351989,0.16862746
128,0,5,21194136465989,5,21194215845989,0.16470589
128,0,6,21194357287989,6,21194453316989,0.1764706
128,0,0,21194811169989,0,21194891033989,0.16470589
128,0,E,21195438247989,E,21195498139989,0.16470589
128,1,5,21196339585989,5,21196432074990,0.18431373
128,1,5,21196511937988,5,21196591228989,0.19607845
128,1,6,21196686376989,6,21196814738989,0.18823531
128,1,0,21197111398989,0,21197206695989,0.19215688
128,1,E,21197487998989,E,21197567601990,0.18431373
128,2,5,21198470201989,5,21198547129990,0.20000002
128,2,5,21198642564989,5,21198706086989,0.16470589
128,2,6,21198817032989,6,21198896125989,0.19215688
128,2,0,21199069130989,0,21199164450990,0.19215688
128,2,E,21199461629989,E,21199540059989,0.18039216
128,3,5,21200195190989,5,21200271786989,0.18823531
128,3,5,21200367310989,5,21200446190989,0.17254902
128,3,6,21200557356989,6,21200636234989,0.19607845
128,3,0,21200793353989,0,21200873144989,0.17254902
128,3,E,21201420390989,E,21201512881989,0.18431373
128,4,5,21202044576989,5,21202104695989,0.19215688
128,4,5,21202199836989,5,21202279230989,0.18431373
128,4,6,21202374231989,6,21202453997989,0.18823531
128,4,0,21202626432989,0,21202705743989,0.18039216
128,4,E,21202971169989,E,21203050873989,0.1764706
128,5,5,21203440136989,5,21203519420989,0.18823531
128,5,5,21203598928989,5,21203662023989,0.16862746
128,5,6,21203757156989,6,21203852993989,0.18431373
128,5,0,21204056867989,0,21204135894989,0.1764706
128,5,E,21204432193989,E,21204527829989,0.16862746
128,6,5,21204948118989,5,21205011498989,0.1764706
128,6,5,21205106562989,5,21205169626989,0.17254902
128,6,6,21205280192989,6,21205359629989,0.18823531
128,6,0,21205501154989,0,21205580664989,0.18431373
128,6,E,21205815119989,E,21205894271989,0.18431373
128,7,5,21206391769989,5,21206454957989,0.18039216
128,7,5,21206534549989,5,21206597930989,0.16078432
128,7,6,21206677339989,6,21206773753989,0.17254902
128,7,0,21206899930989,0,21207012042989,0.19215688
128,7,E,21207169086989,E,21207232165989,0.16862746
128,8,5,21208769980989,5,21208846345989,0.18431373
128,8,5,21208925982989,5,21209005649989,0.18823531
128,8,6,21209069614989,6,21209181675988,0.18039216
128,8,0,21209323277988,0,21209418933988,0.19607845
128,8,E,21210105950988,E,21210181790988,0.16470589
128,9,5,21210853497990,5,21210930176990,0.1764706
128,9,5,21211009773990,5,21211105438990,0.18823531
128,9,6,21211169690990,6,21211298797990,0.18823531
128,9,0,21211424087990,0,21211552610990,0.18431373
128,9,E,21211741108990,E,21211803838990,0.16862746
129,0,5,53652331896906,5,53652407600906,0.19607845
129,0,5,53652471710906,5,53652534875906,0.19215688
